query,labels
would you like to be my friend ,system_agent_my_friend 
be my best friend ,system_agent_my_friend 
you're my childhood friend ,system_agent_my_friend 
could you be my friend ,system_agent_my_friend 
you and me are friends ,system_agent_my_friend 
will you be my best friend ,system_agent_my_friend 
want to be my friend ,system_agent_my_friend 
be my friend ,system_agent_my_friend 
are you my best friend ,system_agent_my_friend 
we are best friends ,system_agent_my_friend 
we are the best friends ever ,system_agent_my_friend 
can you be my best friend ,system_agent_my_friend 
are we friends ,system_agent_my_friend 
do you want to be my friend ,system_agent_my_friend 
I am your friend ,system_agent_my_friend 
do you want to be my best friend ,system_agent_my_friend 
you are my bestie ,system_agent_my_friend 
can we be friends ,system_agent_my_friend 
I want you to be my friend ,system_agent_my_friend 
you are a good friend ,system_agent_my_friend 
you're my dear friend ,system_agent_my_friend 
are we still friends ,system_agent_my_friend 
will you be my friend ,system_agent_my_friend 
were you born here ,system_agent_occupation 
where is your work ,system_agent_occupation 
your office location ,system_agent_occupation 
where is your office location ,system_agent_occupation 
where you work ,system_agent_occupation 
where is your office ,system_agent_occupation 
do you work ,system_agent_occupation 
where is your office located ,system_agent_occupation 
what is your work ,system_agent_occupation 
where do you work ,system_agent_occupation 
where have you been born ,system_agent_origin 
what is your country ,system_agent_origin 
where are you from ,system_agent_origin 
from where are you ,system_agent_origin 
are you from far aways ,system_agent_origin 
where were you born ,system_agent_origin 
where do you come from ,system_agent_origin 
what's your homeland ,system_agent_origin 
your homeland is ,system_agent_origin 
where did you come from ,system_agent_origin 
were you ready ,system_agent_ready 
are you ready tonight ,system_agent_ready 
are you ready now ,system_agent_ready 
have you been ready ,system_agent_ready 
are you ready right now ,system_agent_ready 
are you ready ,system_agent_ready 
are you ready today ,system_agent_ready 
are you a real person ,system_agent_real 
are you real ,system_agent_real 
I suppose you're real ,system_agent_real 
I think you are real ,system_agent_real 
you are not real ,system_agent_real 
you are so real ,system_agent_real 
I don't think you're fake ,system_agent_real 
you are real ,system_agent_real 
glad you're real ,system_agent_real 
you are not fake ,system_agent_real 
you are a real person ,system_agent_real 
are you a real human ,system_agent_real 
where's your home ,system_agent_residence 
tell me about your city ,system_agent_residence 
where is your residence ,system_agent_residence 
where you live ,system_agent_residence 
what is your city ,system_agent_residence 
your hometown ,system_agent_residence 
in which city do you live ,system_agent_residence 
where's your house ,system_agent_residence 
where do you live ,system_agent_residence 
where is your home ,system_agent_residence 
where's your hometown ,system_agent_residence 
what's your city ,system_agent_residence 
where is your hometown ,system_agent_residence 
what is your town ,system_agent_residence 
your house ,system_agent_residence 
your home ,system_agent_residence 
what is your hometown ,system_agent_residence 
your town ,system_agent_residence 
what is your residence ,system_agent_residence 
your residence ,system_agent_residence 
is it your hometown ,system_agent_residence 
your city ,system_agent_residence 
what's your home ,system_agent_residence 
you're not wrong ,system_agent_right 
that is right ,system_agent_right 
what you say is true ,system_agent_right 
you're right about that ,system_agent_right 
you're telling the truth ,system_agent_right 
I know that's right ,system_agent_right 
it's true ,system_agent_right 
true ,system_agent_right 
that is true ,system_agent_right 
that's so true ,system_agent_right 
you're absolutely right ,system_agent_right 
that is correct ,system_agent_right 
that is very true ,system_agent_right 
you are correct ,system_agent_right 
that's correct ,system_agent_right 
it's right ,system_agent_right 
you are so right ,system_agent_right 
that's true ,system_agent_right 
it's the truth ,system_agent_right 
you're definitely right ,system_agent_right 
it is true ,system_agent_right 
you are right ,system_agent_right 
are you sure right now ,system_agent_sure 
are you sure today ,system_agent_sure 
are you sure now ,system_agent_sure 
are you sure tonight ,system_agent_sure 
are you sure ,system_agent_sure 
will you talk to me ,system_agent_talk_to_me 
can you talk with me ,system_agent_talk_to_me 
speak to me ,system_agent_talk_to_me 
why aren't you talking to me ,system_agent_talk_to_me 
do you want to chat with me ,system_agent_talk_to_me 
chat with me ,system_agent_talk_to_me 
talk to me ,system_agent_talk_to_me 
why don't you talk to me ,system_agent_talk_to_me 
can you chat with me ,system_agent_talk_to_me 
can you speak with me ,system_agent_talk_to_me 
you can talk to me ,system_agent_talk_to_me 
can you talk to me ,system_agent_talk_to_me 
say ,system_agent_talk_to_me 
are you going to talk to me ,system_agent_talk_to_me 
are you talking to me ,system_agent_talk_to_me 
talk ,system_agent_talk_to_me 
talk with me ,system_agent_talk_to_me 
speak with me ,system_agent_talk_to_me 
just chat with me ,system_agent_talk_to_me 
are you near me ,system_agent_there 
are you still there ,system_agent_there 
are you here ,system_agent_there 
are you still here ,system_agent_there 
you are there ,system_agent_there 
you are here ,system_agent_there 
you still there ,system_agent_there 
are you there ,system_agent_there 
that's bad ,system_appraisal_bad 
bad idea ,system_appraisal_bad 
this is bad ,system_appraisal_bad 
really bad ,system_appraisal_bad 
that was terrible ,system_appraisal_bad 
that's too bad ,system_appraisal_bad 
this is not good ,system_appraisal_bad 
this is too bad ,system_appraisal_bad 
very bad ,system_appraisal_bad 
that's really bad ,system_appraisal_bad 
not good enough ,system_appraisal_bad 
that's not good ,system_appraisal_bad 
that is bad ,system_appraisal_bad 
well too bad ,system_appraisal_bad 
oh that's not good ,system_appraisal_bad 
terrible ,system_appraisal_bad 
it's bad ,system_appraisal_bad 
pretty bad ,system_appraisal_bad 
that was not good ,system_appraisal_bad 
that was awful ,system_appraisal_bad 
so lame ,system_appraisal_bad 
that was bad ,system_appraisal_bad 
horrible ,system_appraisal_bad 
horrific ,system_appraisal_bad 
too bad ,system_appraisal_bad 
it's really bad ,system_appraisal_bad 
it is too bad ,system_appraisal_bad 
that's lame ,system_appraisal_bad 
it's too bad ,system_appraisal_bad 
not so good ,system_appraisal_bad 
not good ,system_appraisal_bad 
bad really bad ,system_appraisal_bad 
that was horrible ,system_appraisal_bad 
not a good one ,system_appraisal_bad 
bad ,system_appraisal_bad 
bad very bad ,system_appraisal_bad 
it's very bad ,system_appraisal_bad 
so bad ,system_appraisal_bad 
it's not good ,system_appraisal_bad 
not too good ,system_appraisal_bad 
it's so bad ,system_appraisal_bad 
no it's bad ,system_appraisal_bad 
that's not good enough ,system_appraisal_bad 
that was lame ,system_appraisal_bad 
it is bad ,system_appraisal_bad 
no good ,system_appraisal_bad 
it's not so good ,system_appraisal_bad 
abysmal ,system_appraisal_bad 
I'm afraid it's bad ,system_appraisal_bad 
that's terrible ,system_appraisal_bad 
bad girl ,system_appraisal_bad 
that's awesome thank you ,system_appraisal_good 
fine ,system_appraisal_good 
very nice ,system_appraisal_good 
good to know ,system_appraisal_good 
glad to hear that ,system_appraisal_good 
that's fantastic ,system_appraisal_good 
that's cute ,system_appraisal_good 
so cool ,system_appraisal_good 
that's amazing ,system_appraisal_good 
much better ,system_appraisal_good 
that's much better ,system_appraisal_good 
pretty good ,system_appraisal_good 
super ,system_appraisal_good 
oh well ,system_appraisal_good 
pleasant ,system_appraisal_good 
that's fine ,system_appraisal_good 
that's not bad ,system_appraisal_good 
it's very good ,system_appraisal_good 
very nice ,system_appraisal_good 
sweet ,system_appraisal_good 
that is wonderful ,system_appraisal_good 
good very good ,system_appraisal_good 
fantastic ,system_appraisal_good 
that's great ,system_appraisal_good 
that's really good ,system_appraisal_good 
this is awesome ,system_appraisal_good 
that is awesome ,system_appraisal_good 
glad to hear it ,system_appraisal_good 
that's very nice of you ,system_appraisal_good 
that's nice ,system_appraisal_good 
it's great ,system_appraisal_good 
it's awesome ,system_appraisal_good 
really nice ,system_appraisal_good 
it's good ,system_appraisal_good 
it's fine ,system_appraisal_good 
that's wonderful ,system_appraisal_good 
that's really nice ,system_appraisal_good 
ok good ,system_appraisal_good 
it is good ,system_appraisal_good 
it was good ,system_appraisal_good 
very then ,system_appraisal_good 
that was cute ,system_appraisal_good 
it is fine ,system_appraisal_good 
that was very good ,system_appraisal_good 
that's sweet of you ,system_appraisal_good 
that's a good idea ,system_appraisal_good 
it's very good ,system_appraisal_good 
perfect ,system_appraisal_good 
very good ,system_appraisal_good 
marvelous ,system_appraisal_good 
really well ,system_appraisal_good 
that's very nice ,system_appraisal_good 
that is nice ,system_appraisal_good 
that is good ,system_appraisal_good 
it's perfect ,system_appraisal_good 
that's pretty good ,system_appraisal_good 
super fantastic ,system_appraisal_good 
really good ,system_appraisal_good 
cool ,system_appraisal_good 
great ,system_appraisal_good 
it's great ,system_appraisal_good 
that's a good thing ,system_appraisal_good 
that's very good ,system_appraisal_good 
that's perfect ,system_appraisal_good 
that was awesome ,system_appraisal_good 
I'm glad to hear that ,system_appraisal_good 
straight ,system_appraisal_good 
that was good ,system_appraisal_good 
that was good ,system_appraisal_good 
that was amazing ,system_appraisal_good 
okay good ,system_appraisal_good 
good thing ,system_appraisal_good 
splendid ,system_appraisal_good 
so sweet of you ,system_appraisal_good 
amazing ,system_appraisal_good 
that's awesome ,system_appraisal_good 
very well ,system_appraisal_good 
nice ,system_appraisal_good 
so good ,system_appraisal_good 
that's great ,system_appraisal_good 
this is good ,system_appraisal_good 
no it's okay ,system_appraisal_good 
excellent ,system_appraisal_good 
that's nice of you ,system_appraisal_good 
wonderful ,system_appraisal_good 
this is great ,system_appraisal_good 
good for you ,system_appraisal_good 
it's amazing ,system_appraisal_good 
that's fine ,system_appraisal_good 
not too bad ,system_appraisal_good 
that was pretty good ,system_appraisal_good 
not bad ,system_appraisal_good 
terrific ,system_appraisal_good 
that's better ,system_appraisal_good 
good ,system_appraisal_good 
don't worry there's no problem ,system_appraisal_no_problem 
there's no problem ,system_appraisal_no_problem 
no problem about that ,system_appraisal_no_problem 
no problem ,system_appraisal_no_problem 
no worries ,system_appraisal_no_problem 
don't worry ,system_appraisal_no_problem 
sure no problem ,system_appraisal_no_problem 
no probs ,system_appraisal_no_problem 
cheers ,system_appraisal_thank_you 
nice thank you ,system_appraisal_thank_you 
thank you ,system_appraisal_thank_you 
thank you my friend ,system_appraisal_thank_you 
alright thanks ,system_appraisal_thank_you 
thank you for your help ,system_appraisal_thank_you 
perfect thank you ,system_appraisal_thank_you 
thanx ,system_appraisal_thank_you 
terrific thank you ,system_appraisal_thank_you 
great thank you ,system_appraisal_thank_you 
well thanks ,system_appraisal_thank_you 
appreciate your help ,system_appraisal_thank_you 
thanks buddy ,system_appraisal_thank_you 
thanks love ,system_appraisal_thank_you 
thank you again ,system_appraisal_thank_you 
thank you that will be all ,system_appraisal_thank_you 
you helped a lot thank you ,system_appraisal_thank_you 
I appreciate it ,system_appraisal_thank_you 
very good thank you ,system_appraisal_thank_you 
thanks ,system_appraisal_thank_you 
thank you so much ,system_appraisal_thank_you 
so nice of you ,system_appraisal_thank_you 
thanks again ,system_appraisal_thank_you 
I thank you ,system_appraisal_thank_you 
well thanks ,system_appraisal_thank_you 
thanks for your help ,system_appraisal_thank_you 
alright thank you ,system_appraisal_thank_you 
thnx ,system_appraisal_thank_you 
thanks so much ,system_appraisal_thank_you 
well thank you ,system_appraisal_thank_you 
good thanks ,system_appraisal_thank_you 
thanks a lot ,system_appraisal_thank_you 
all thank you ,system_appraisal_thank_you 
thank you ,system_appraisal_thank_you 
no thank you that's all ,system_appraisal_thank_you 
anything you want ,system_appraisal_welcome 
sure welcome ,system_appraisal_welcome 
you're so welcome ,system_appraisal_welcome 
you're welcome ,system_appraisal_welcome 
anytime ,system_appraisal_welcome 
welcome ,system_appraisal_welcome 
my pleasure ,system_appraisal_welcome 
that's my pleasure ,system_appraisal_welcome 
welcome here ,system_appraisal_welcome 
nice work ,system_appraisal_well_done 
bravo ,system_appraisal_well_done 
well done ,system_appraisal_well_done 
good job ,system_appraisal_well_done 
great job ,system_appraisal_well_done 
way to go ,system_appraisal_well_done 
amazing work ,system_appraisal_well_done 
great work ,system_appraisal_well_done 
good work ,system_appraisal_well_done 
cancel that one ,system_confirmation_cancel 
cancel now ,system_confirmation_cancel 
forget about that ,system_confirmation_cancel 
can you cancel it ,system_confirmation_cancel 
disregard that ,system_confirmation_cancel 
cancel it cancel it ,system_confirmation_cancel 
sorry cancel ,system_confirmation_cancel 
cancelled ,system_confirmation_cancel 
cancel the whole thing ,system_confirmation_cancel 
now cancel ,system_confirmation_cancel 
don't do that ,system_confirmation_cancel 
no stop ,system_confirmation_cancel 
cancel my request ,system_confirmation_cancel 
cancel this request ,system_confirmation_cancel 
do nothing ,system_confirmation_cancel 
annul ,system_confirmation_cancel 
just forget about it ,system_confirmation_cancel 
forget that ,system_confirmation_cancel 
no cancel cancel ,system_confirmation_cancel 
cancel everything ,system_confirmation_cancel 
i said cancel it ,system_confirmation_cancel 
I said cancel cancel ,system_confirmation_cancel 
cancel all that ,system_confirmation_cancel 
no just cancel it ,system_confirmation_cancel 
i said cancel ,system_confirmation_cancel 
just forget it ,system_confirmation_cancel 
skip skip skip ,system_confirmation_cancel 
i want to cancel it ,system_confirmation_cancel 
stop it ,system_confirmation_cancel 
discard ,system_confirmation_cancel 
skip ,system_confirmation_cancel 
nevermind forget about it ,system_confirmation_cancel 
cancel all this ,system_confirmation_cancel 
cancel that cancel that ,system_confirmation_cancel 
forget this ,system_confirmation_cancel 
just cancel it ,system_confirmation_cancel 
cancel ,system_confirmation_cancel 
i want to cancel ,system_confirmation_cancel 
cancel all ,system_confirmation_cancel 
forget about it ,system_confirmation_cancel 
dismissed ,system_confirmation_cancel 
just stop it ,system_confirmation_cancel 
no cancel everything ,system_confirmation_cancel 
nothing cancel ,system_confirmation_cancel 
i said forget it ,system_confirmation_cancel 
forget it nevermind ,system_confirmation_cancel 
dismiss ,system_confirmation_cancel 
but can you cancel it ,system_confirmation_cancel 
stop ,system_confirmation_cancel 
i would like to cancel ,system_confirmation_cancel 
cancel request ,system_confirmation_cancel 
nothing just forget it ,system_confirmation_cancel 
no just cancel ,system_confirmation_cancel 
disregard ,system_confirmation_cancel 
forget ,system_confirmation_cancel 
skip it ,system_confirmation_cancel 
cancel it ,system_confirmation_cancel 
abort ,system_confirmation_cancel 
no cancel this ,system_confirmation_cancel 
can you cancel that ,system_confirmation_cancel 
cancel it ,system_confirmation_cancel 
just forget ,system_confirmation_cancel 
so cancel ,system_confirmation_cancel 
no don't ,system_confirmation_no 
never ,system_confirmation_no 
na ,system_confirmation_no 
no ,system_confirmation_no 
nooo ,system_confirmation_no 
don't ,system_confirmation_no 
I don't want that ,system_confirmation_no 
no don't do that ,system_confirmation_no 
no incorrect ,system_confirmation_no 
I don't want ,system_confirmation_no 
nah ,system_confirmation_no 
I think no ,system_confirmation_no 
nope sorry ,system_confirmation_no 
of course not ,system_confirmation_no 
not exactly ,system_confirmation_no 
sorry no ,system_confirmation_no 
not needed ,system_confirmation_no 
no that's wrong ,system_confirmation_no 
no do not ,system_confirmation_no 
no forget ,system_confirmation_no 
no I don't ,system_confirmation_no 
no it's not ,system_confirmation_no 
not today ,system_confirmation_no 
no sorry ,system_confirmation_no 
do not ,system_confirmation_no 
absolutely no ,system_confirmation_no 
not that ,system_confirmation_no 
not at this time ,system_confirmation_no 
not really ,system_confirmation_no 
I don't want to ,system_confirmation_no 
I disagree ,system_confirmation_no 
not interested ,system_confirmation_no 
apparently not ,system_confirmation_no 
actually no ,system_confirmation_no 
no thanks ,system_confirmation_no 
thanks but no thanks ,system_confirmation_no 
no that's fine thank you ,system_confirmation_no 
no just no ,system_confirmation_no 
don t have a sense ,system_confirmation_no 
how about no ,system_confirmation_no 
no it isn't ,system_confirmation_no 
disagree ,system_confirmation_no 
no way ,system_confirmation_no 
no never ,system_confirmation_no 
no thank you very much ,system_confirmation_no 
let 's not ,system_confirmation_no 
absolutely not ,system_confirmation_no 
I don't think so ,system_confirmation_no 
no thank you though ,system_confirmation_no 
I said no ,system_confirmation_no 
no but thank you ,system_confirmation_no 
definitely not ,system_confirmation_no 
don't ,system_confirmation_no 
no I would not ,system_confirmation_no 
no thank you not right now ,system_confirmation_no 
not really no ,system_confirmation_no 
no tanks ,system_confirmation_no 
no need ,system_confirmation_no 
no thanks not right now ,system_confirmation_no 
not this time ,system_confirmation_no 
I'm not ,system_confirmation_no 
not right now thanks ,system_confirmation_no 
no need thanks ,system_confirmation_no 
no leave it ,system_confirmation_no 
I say no ,system_confirmation_no 
no actually ,system_confirmation_no 
not this ,system_confirmation_no 
nope ,system_confirmation_no 
obviously ,system_confirmation_yes 
yes indeed ,system_confirmation_yes 
yeah exactly ,system_confirmation_yes 
yes it is ,system_confirmation_yes 
that is ok ,system_confirmation_yes 
yeah right ,system_confirmation_yes 
yeah go ahead ,system_confirmation_yes 
I do ,system_confirmation_yes 
yeh ,system_confirmation_yes 
sure is ,system_confirmation_yes 
I guess ,system_confirmation_yes 
okey ,system_confirmation_yes 
ok sure ,system_confirmation_yes 
ye ,system_confirmation_yes 
I agree ,system_confirmation_yes 
ok yes ,system_confirmation_yes 
certainly ,system_confirmation_yes 
ok ,system_confirmation_yes 
why not ,system_confirmation_yes 
ya ,system_confirmation_yes 
ok go ahead ,system_confirmation_yes 
okay that's fine ,system_confirmation_yes 
go for it ,system_confirmation_yes 
yes ,system_confirmation_yes 
yeah that's right ,system_confirmation_yes 
yes this is correct ,system_confirmation_yes 
yes it is correct ,system_confirmation_yes 
ok you can ,system_confirmation_yes 
yes of course ,system_confirmation_yes 
of course why not ,system_confirmation_yes 
yep ,system_confirmation_yes 
ok thank you ,system_confirmation_yes 
definitely ,system_confirmation_yes 
yes sure ,system_confirmation_yes 
yeah ,system_confirmation_yes 
all right ,system_confirmation_yes 
go ahead ,system_confirmation_yes 
right ,system_confirmation_yes 
it's fine ,system_confirmation_yes 
yes thank you ,system_confirmation_yes 
I think so ,system_confirmation_yes 
do it ,system_confirmation_yes 
yes I do ,system_confirmation_yes 
yes I would like to ,system_confirmation_yes 
confirmed ,system_confirmation_yes 
k ,system_confirmation_yes 
sure thing ,system_confirmation_yes 
yap ,system_confirmation_yes 
yes you may ,system_confirmation_yes 
okie dokie ,system_confirmation_yes 
yes correct ,system_confirmation_yes 
yes right ,system_confirmation_yes 
yes definitely ,system_confirmation_yes 
sure why not ,system_confirmation_yes 
okay sounds good ,system_confirmation_yes 
yup ,system_confirmation_yes 
confirm ,system_confirmation_yes 
that s okay ,system_confirmation_yes 
absolutely ,system_confirmation_yes 
sure ,system_confirmation_yes 
looks good ,system_confirmation_yes 
alrighty ,system_confirmation_yes 
okay then ,system_confirmation_yes 
yes I agree ,system_confirmation_yes 
that's correct ,system_confirmation_yes 
exactly ,system_confirmation_yes 
yea ,system_confirmation_yes 
nevermind its okay ,system_confirmation_yes 
I don't mind ,system_confirmation_yes 
yes that's fine ,system_confirmation_yes 
yeah of course ,system_confirmation_yes 
sounds good ,system_confirmation_yes 
okay ,system_confirmation_yes 
of course ,system_confirmation_yes 
oh yes ,system_confirmation_yes 
affirmative ,system_confirmation_yes 
yes for sure ,system_confirmation_yes 
please do ,system_confirmation_yes 
correct ,system_confirmation_yes 
this is correct ,system_confirmation_yes 
yeah sure ,system_confirmation_yes 
yeah I'm sure ,system_confirmation_yes 
don't rush ,system_dialog_hold_on 
wait a second ,system_dialog_hold_on 
could you wait ,system_dialog_hold_on 
hold on ,system_dialog_hold_on 
wait please ,system_dialog_hold_on 
wait hold on ,system_dialog_hold_on 
wait ,system_dialog_hold_on 
oh wait ,system_dialog_hold_on 
wanna hug ,system_dialog_hug 
you hugged ,system_dialog_hug 
do you want a hug ,system_dialog_hug 
hug me ,system_dialog_hug 
hugged ,system_dialog_hug 
a hug ,system_dialog_hug 
I want a hug ,system_dialog_hug 
may I hug you ,system_dialog_hug 
hug you ,system_dialog_hug 
hugged me ,system_dialog_hug 
hugging me ,system_dialog_hug 
hugging ,system_dialog_hug 
want a hug ,system_dialog_hug 
could you give me a hug ,system_dialog_hug 
hug ,system_dialog_hug 
not caring at all ,system_dialog_i_do_not_care 
I don't care at all ,system_dialog_i_do_not_care 
not caring ,system_dialog_i_do_not_care 
whatever ,system_dialog_i_do_not_care 
don't care at all ,system_dialog_i_do_not_care 
I shouldn't care about this ,system_dialog_i_do_not_care 
not care at all ,system_dialog_i_do_not_care 
I do not care ,system_dialog_i_do_not_care 
I don't care ,system_dialog_i_do_not_care 
I'm sorry ,system_dialog_sorry 
my apologies ,system_dialog_sorry 
apologise ,system_dialog_sorry 
forgive me ,system_dialog_sorry 
pardon ,system_dialog_sorry 
very sorry ,system_dialog_sorry 
excuse ,system_dialog_sorry 
I apologize ,system_dialog_sorry 
I want to say sorry ,system_dialog_sorry 
I am really sorry ,system_dialog_sorry 
I am so sorry ,system_dialog_sorry 
excuse me ,system_dialog_sorry 
apology ,system_dialog_sorry 
apologies ,system_dialog_sorry 
sorry about this ,system_dialog_sorry 
I said sorry ,system_dialog_sorry 
sorry ,system_dialog_sorry 
apologies to me ,system_dialog_sorry 
okay I'm sorry ,system_dialog_sorry 
really sorry ,system_dialog_sorry 
I beg your pardon ,system_dialog_sorry 
alright I'm sorry ,system_dialog_sorry 
ok sorry ,system_dialog_sorry 
sorry about that ,system_dialog_sorry 
what exactly do you mean ,system_dialog_what_do_you_mean 
what do you mean ,system_dialog_what_do_you_mean 
is that what you mean ,system_dialog_what_do_you_mean 
but what do you mean ,system_dialog_what_do_you_mean 
what do you mean exactly ,system_dialog_what_do_you_mean 
you are wrong ,system_dialog_wrong 
it is not right ,system_dialog_wrong 
that's wrong ,system_dialog_wrong 
that was wrong ,system_dialog_wrong 
it's wrong ,system_dialog_wrong 
that's not right ,system_dialog_wrong 
wrong ,system_dialog_wrong 
incorrect ,system_dialog_wrong 
that's not what I asked ,system_dialog_wrong 
not right ,system_dialog_wrong 
that is incorrect ,system_dialog_wrong 
not correct ,system_dialog_wrong 
ahahah ,system_emotions_ha_ha 
hah ,system_emotions_ha_ha 
that's funny ,system_emotions_ha_ha 
lmao ,system_emotions_ha_ha 
xd ,system_emotions_ha_ha 
ha ,system_emotions_ha_ha 
ha ha ha ,system_emotions_ha_ha 
ahaha ,system_emotions_ha_ha 
ah ah ah ,system_emotions_ha_ha 
haha ,system_emotions_ha_ha 
ha ha ,system_emotions_ha_ha 
ahahaha ,system_emotions_ha_ha 
ha ha ha ha ,system_emotions_ha_ha 
lol ,system_emotions_ha_ha 
LMAO ,system_emotions_ha_ha 
hahaha very funny ,system_emotions_ha_ha 
haha funny ,system_emotions_ha_ha 
laughing out loud ,system_emotions_ha_ha 
hehehe ,system_emotions_ha_ha 
haha that's funny ,system_emotions_ha_ha 
ahah lol ,system_emotions_ha_ha 
haha haha haha ,system_emotions_ha_ha 
haha very funny ,system_emotions_ha_ha 
hahaha ,system_emotions_ha_ha 
hahaha funny ,system_emotions_ha_ha 
hehe ,system_emotions_ha_ha 
wow wow wow ,system_emotions_wow 
wow ,system_emotions_wow 
wooow ,system_emotions_wow 
wow wow ,system_emotions_wow 
woah ,system_emotions_wow 
goodbye for now ,system_greetings_bye 
bye bye take care ,system_greetings_bye 
bye for now ,system_greetings_bye 
okay see you later ,system_greetings_bye 
okay bye ,system_greetings_bye 
okay thank you bye ,system_greetings_bye 
talk to you later ,system_greetings_bye 
that's it goodbye ,system_greetings_bye 
I must go ,system_greetings_bye 
that's all goodbye ,system_greetings_bye 
you can go now ,system_greetings_bye 
thanks bye bye ,system_greetings_bye 
alright bye ,system_greetings_bye 
goodbye see you later ,system_greetings_bye 
now bye ,system_greetings_bye 
bye bye see you soon ,system_greetings_bye 
get lost ,system_greetings_bye 
till next time ,system_greetings_bye 
see ya ,system_greetings_bye 
bye ,system_greetings_bye 
see you ,system_greetings_bye 
I said bye ,system_greetings_bye 
ok bye ,system_greetings_bye 
see you tomorrow ,system_greetings_bye 
leave me alone ,system_greetings_bye 
good bye ,system_greetings_bye 
never mind bye ,system_greetings_bye 
bye-bye ,system_greetings_bye 
hope to see you later ,system_greetings_bye 
go to bed ,system_greetings_bye 
see you ,system_greetings_bye 
goodbye ,system_greetings_bye 
bye bye see you ,system_greetings_bye 
good evening there ,system_greetings_goodevening 
hey good evening ,system_greetings_goodevening 
good evening to you ,system_greetings_goodevening 
hello good evening ,system_greetings_goodevening 
good evening ,system_greetings_goodevening 
evening ,system_greetings_goodevening 
good morning too ,system_greetings_goodmorning 
hello good morning ,system_greetings_goodmorning 
good morning ,system_greetings_goodmorning 
have a great morning ,system_greetings_goodmorning 
a good morning ,system_greetings_goodmorning 
good morning to you ,system_greetings_goodmorning 
hi good morning ,system_greetings_goodmorning 
top of the morning to you ,system_greetings_goodmorning 
have a nice morning ,system_greetings_goodmorning 
and a good morning to you ,system_greetings_goodmorning 
morning ,system_greetings_goodmorning 
good morning to you ,system_greetings_goodmorning 
good morning there ,system_greetings_goodmorning 
good night bye ,system_greetings_goodnight 
have a good night ,system_greetings_goodnight 
bye good night ,system_greetings_goodnight 
good night to you ,system_greetings_goodnight 
good night ,system_greetings_goodnight 
okay have a good night ,system_greetings_goodnight 
 bye good night ,system_greetings_goodnight 
night ,system_greetings_goodnight 
good night for now ,system_greetings_goodnight 
goodnight ,system_greetings_goodnight 
sweet dreams ,system_greetings_goodnight 
good night see you tomorrow ,system_greetings_goodnight 
thanks goodnight ,system_greetings_goodnight 
alright goodnight ,system_greetings_goodnight 
good good night ,system_greetings_goodnight 
night ,system_greetings_goodnight 
good tonight ,system_greetings_goodnight 
thank you good night ,system_greetings_goodnight 
have a good night ,system_greetings_goodnight 
pleased to meet you ,system_greetings_nice_to_meet_you 
nice to meet you ,system_greetings_nice_to_meet_you 
pleasure to meet you too ,system_greetings_nice_to_meet_you 
it was very nice to meet you ,system_greetings_nice_to_meet_you 
nice meeting you ,system_greetings_nice_to_meet_you 
nice to meet you too ,system_greetings_nice_to_meet_you 
glad to meet you ,system_greetings_nice_to_meet_you 
it was nice meeting you ,system_greetings_nice_to_meet_you 
good to know each other ,system_greetings_nice_to_meet_you 
pleasure to meet you ,system_greetings_nice_to_meet_you 
great to see you again ,system_greetings_nice_to_see_you 
nice to see you ,system_greetings_nice_to_see_you 
good to see you ,system_greetings_nice_to_see_you 
good to see you again ,system_greetings_nice_to_see_you 
great to see you ,system_greetings_nice_to_see_you 
it's good to see you too ,system_greetings_nice_to_see_you 
lovely to see you ,system_greetings_nice_to_see_you 
how good it is to see you ,system_greetings_nice_to_see_you 
I am glad to see you again ,system_greetings_nice_to_see_you 
it's good to see you ,system_greetings_nice_to_see_you 
glad to see you ,system_greetings_nice_to_see_you 
it's nice to see you ,system_greetings_nice_to_see_you 
I'm glad to see you ,system_greetings_nice_to_see_you 
glad to see you too ,system_greetings_nice_to_see_you 
nice to see you again ,system_greetings_nice_to_see_you 
great to see you too ,system_greetings_nice_to_see_you 
always a pleasure to see you ,system_greetings_nice_to_see_you 
it's been a pleasure talking to you ,system_greetings_nice_to_talk_to_you 
nice to talk to you ,system_greetings_nice_to_talk_to_you 
it's been so nice to talk to you ,system_greetings_nice_to_talk_to_you 
it's nice to talk to you ,system_greetings_nice_to_talk_to_you 
how nice it is to talk to you ,system_greetings_nice_to_talk_to_you 
nice talking to you ,system_greetings_nice_to_talk_to_you 
it is nice talking to you ,system_greetings_nice_to_talk_to_you 
I'm enraged ,system_user_angry 
I'm angry ,system_user_angry 
I'm furious ,system_user_angry 
I'm being mad ,system_user_angry 
I am mad ,system_user_angry 
I am angry with you ,system_user_angry 
I am mad at you ,system_user_angry 
I came back ,system_user_angry 
I got back ,system_user_back 
I'm here again ,system_user_back 
I have returned ,system_user_back 
here I am again ,system_user_back 
I am back ,system_user_back 
boring ,system_user_bored 
this is boring ,system_user_bored 
very boring ,system_user_bored 
bored ,system_user_bored 
I am getting bored ,system_user_bored 
that was boring ,system_user_bored 
I'm bored ,system_user_bored 
it bores me ,system_user_bored 
I got work to do ,system_user_busy 
I don't have time for this ,system_user_busy 
how busy I am ,system_user_busy 
I'm swamped ,system_user_busy 
I'm busy ,system_user_busy 
I got things to do ,system_user_busy 
I have no time ,system_user_busy 
I'm working ,system_user_busy 
I'm overloaded ,system_user_busy 
I can't fall asleep ,system_user_can_not_sleep 
